Designator,Mid X,Mid Y,Layer,Rotation
AM1,112.524625,64.889016,Bottom,-90
AM2,119.774617,43.457784,Bottom,-90
AM3,124.430865,24.4078,Bottom,-90
AM4,134.154301,5.337968,Bottom,-90
AM5,138.718353,-13.806228,Bottom,-90
AM6,100.779321,-13.806228,Bottom,-90
C1,108.500162,61.912408,Bottom,180
C2,115.914153,40.481224,Bottom,180
C3,120.406412,21.431158,Bottom,180
C4,130.245032,2.381256,Bottom,180
C5,134.705277,-16.790116,Bottom,180
C6,60.180569,78.101174,Bottom,-90
C7,79.230569,78.101174,Bottom,-90
C8,98.28969,78.101174,Bottom,-90
C9,122.886817,78.001966,Bottom,-90
C10,141.936819,78.068999,Bottom,-90
C11,160.986817,78.001967,Bottom,-90
C12,180.029138,78.184312,Bottom,-90
C13,96.930703,-16.752405,Bottom,180
C14,60.137168,53.578089,Bottom,-90
C15,79.187151,53.578089,Bottom,-90
C16,98.237134,53.57809,Bottom,-90
C17,117.287119,53.578089,Bottom,-90
C18,136.337104,53.57809,Bottom,-90
C19,155.387088,53.578089,Bottom,-90
C20,174.437072,53.578089,Bottom,-90
C21,64.879787,34.528165,Bottom,-90
C22,88.692248,34.528164,Bottom,-90
C23,107.742217,34.528164,Bottom,-90
C24,126.792184,34.528166,Bottom,-90
C25,145.842153,34.528165,Bottom,-90
C26,164.89212,34.528163,Bottom,-90
C27,72.063288,14.287419,Bottom,90
C28,98.257037,14.28742,Bottom,90
C29,117.307038,14.28742,Bottom,90
C30,136.357037,14.287418,Bottom,90
C31,155.407037,14.287419,Bottom,90
C32,174.457038,14.28742,Bottom,90
C33,72.023524,-3.571771,Bottom,-90
C34,102.979724,-3.571772,Bottom,-90
C35,122.02969,-3.571773,Bottom,-90
C36,141.079658,-3.571771,Bottom,-90
C37,160.129628,-3.571773,Bottom,-90
C38,179.179595,-3.571771,Bottom,-90
C39,67.277151,-23.804463,Bottom,90
C40,88.720758,-23.96239,Bottom,90
C41,107.785286,-23.93845,Bottom,90
C42,129.198434,-23.934356,Bottom,90
C43,167.322987,-23.938595,Bottom,90
C44,182.144369,27.682016,Bottom,45
C46,178.274841,27.38436,Bottom,135
C47,174.392661,73.266869,Bottom,90
C48,182.867957,68.678849,Bottom,90
C49,179.24296,71.437448,Bottom,0
C50,171.744529,76.223152,Bottom,180
C81,185.67608,35.421072,Bottom,0
C82,184.005456,33.932792,Bottom,-90
C83,170.948753,37.504664,Bottom,-90
C84,172.397037,45.640533,Bottom,180
C85,183.61986,59.442341,Bottom,0
C86,183.906412,57.943658,Bottom,0
C87,177.031226,32.381268,Bottom,-45
C88,176.2664,31.253888,Bottom,-45
C89,180.135928,14.882808,Bottom,0
C90,169.618912,44.846783,Bottom,90
F1,155.43048,71.437448,Bottom,0
HE1,62.541944,77.589022,Bottom,-90
HE2,81.591928,77.589022,Bottom,-90
HE3,100.651034,77.589022,Bottom,-90
HE4,125.248142,77.589022,Bottom,-90
HE5,144.298126,77.589022,Bottom,-90
HE6,163.34811,77.589022,Bottom,-90
HE7,182.390415,77.589023,Bottom,-90
HE8,62.538289,52.982732,Bottom,-90
HE9,81.588289,52.982732,Bottom,-90
HE10,100.638289,52.982732,Bottom,-90
HE11,119.688289,52.982732,Bottom,-90
HE12,138.738289,52.982732,Bottom,-90
HE13,157.788289,52.982732,Bottom,-90
HE14,176.838289,52.982732,Bottom,-90
HE15,67.300789,33.932732,Bottom,-90
HE16,91.113289,33.932732,Bottom,-90
HE17,110.163289,33.932732,Bottom,-90
HE18,129.213289,33.932732,Bottom,-90
HE19,148.263289,33.932732,Bottom,-90
HE20,167.313289,33.932732,Bottom,-90
HE21,69.682039,14.882732,Bottom,90
HE22,95.875789,14.882732,Bottom,90
HE23,114.925789,14.882732,Bottom,90
HE24,133.975789,14.882732,Bottom,90
HE25,153.025689,14.882808,Bottom,90
HE26,172.075789,14.882732,Bottom,90
HE27,74.444539,-4.167268,Bottom,-90
HE28,105.400789,-4.167268,Bottom,-90
HE29,124.450789,-4.167268,Bottom,-90
HE30,143.500789,-4.167268,Bottom,-90
HE31,162.550789,-4.167268,Bottom,-90
HE32,181.600789,-4.167268,Bottom,-90
HE33,64.895902,-23.209151,Bottom,90
HE34,86.339509,-23.211255,Bottom,90
HE35,105.404038,-23.218789,Bottom,90
HE36,126.817184,-23.214695,Bottom,90
HE37,164.941739,-23.218918,Bottom,90
J1,156.025792,62.210112,Bottom,180
J2,134.084537,65.395264,Bottom,180
R2,168.031412,43.127782,Bottom,90
R3,186.982016,25.598424,Bottom,0
SW1,184.689941,9.501498,Bottom,-90
SW2,184.402441,19.248373,Bottom,-90
U1,178.870153,40.481224,Bottom,90
U3,179.891396,68.701513,Bottom,180
U4,171.744529,73.276508,Bottom,90
U5,161.978912,70.54448,Bottom,0
Y1,180.358433,29.170297,Bottom,45
